time,id,room,mac_addr,status,power[W],ble_rssi,node_rssi
2026-03-28 14:45:00,HOSP-0001,Room_302_Bed_A,f0:9e:9e:9e:07:7e,OFFLINE,12.8,-96,-93
2026-03-28 14:48:00,HOSP-0001,Room_301_Bed_A,f0:9e:9e:9e:29:16,OFFLINE,13.2,-80,-95
2026-03-28 14:48:00,HOSP-0001,Room_301_Bed_B,f0:9e:9e:9c:e0:3a,OFFLINE,0,-99,-91
2026-03-28 14:48:00,HOSP-0001,Room_302_Bed_A,f0:9e:9e:9e:07:7e,OFFLINE,12.8,-96,-93
2026-03-28 14:51:00,HOSP-0001,Room_301_Bed_A,f0:9e:9e:9e:29:16,OFFLINE,13.2,-80,-95
2026-03-28 14:51:00,HOSP-0001,Room_301_Bed_B,f0:9e:9e:9c:e0:3a,OFFLINE,0,-99,-91
2026-03-28 14:51:00,HOSP-0001,Room_302_Bed_A,f0:9e:9e:9e:07:7e,OFFLINE,12.8,-96,-93
2026-03-28 14:54:00,HOSP-0001,Room_301_Bed_A,f0:9e:9e:9e:29:16,OFFLINE,13.2,-80,-95
2026-03-28 14:54:00,HOSP-0001,Room_301_Bed_B,f0:9e:9e:9c:e0:3a,OFFLINE,0,-99,-91
2026-03-28 14:54:00,HOSP-0001,Room_302_Bed_A,f0:9e:9e:9e:07:7e,OFFLINE,12.8,-96,-93
2026-03-28 14:57:00,HOSP-0001,Room_301_Bed_A,f0:9e:9e:9e:29:16,OFFLINE,13.2,-80,-95
2026-03-28 14:57:00,HOSP-0001,Room_301_Bed_B,f0:9e:9e:9c:e0:3a,OFFLINE,0,-99,-91
2026-03-28 14:57:00,HOSP-0001,Room_302_Bed_A,f0:9e:9e:9e:07:7e,OFFLINE,12.8,-96,-93
2026-03-28 15:00:00,HOSP-0001,Room_301_Bed_A,f0:9e:9e:9e:29:16,OFFLINE,13.2,-80,-95
2026-03-28 15:00:00,HOSP-0001,Room_301_Bed_B,f0:9e:9e:9c:e0:3a,OFFLINE,0,-99,-91
